artifact,expected_filename,expected_sha256,package_status,note
raw recovered 90-candidate RTF,90 candidate.rtf,977e1fff270cebd258aa722358b6033bd50daafad2987c8a05ed6250ba54cdc9,PRESENT_HASH_VERIFIED,Must be exported/dropped in before deposition.
derived canonical 90-candidate CSV,planetx_recovered_90_candidate_screen.csv,e3d3dc3ec9584c5e6f4180ef6556bf0ff093783408a086cb3cb7df7d3b956f62,PRESENT_HASH_VERIFIED,"Recovered table transcript is present, but canonical byte serialization is not."
full-90 frozen protocol,planetx_full90_protocol_frozen.json,3962da677b701bc37b459ed154a74bd36132f6d3ce754206a99643beb9d592d6,PRESENT_HASH_VERIFIED,Reconstructed exactly from preserved frozen protocol.
translated 90-candidate manifest,planetx_full90_manifest_frozen.csv,19c5eacfdaed1f96ed1c7c44920882ba98a7b9007aa561180ea68d698b369596,PRESENT_HASH_VERIFIED,Reconstructed exactly from preserved screen table.
full-90 WHFast results,planetx_full90_whfast_results.csv,af4c869cb804e84b0d39380b49c19161987eab11ceed26acbc61187018a10c41,MISSING_CANONICAL_FILE,Complete execution log and noncanonical 90-row runtime restore are present.
IAS15 follow-up selection,planetx_full90_ias15_followup_frozen.json,616fa56ea07a7461a2cc43e0788d0396b1bffc7031385be80bdf5f8eabe6e0f3,PRESENT_HASH_VERIFIED,Reconstructed exactly.
IAS15 follow-up results,planetx_full90_ias15_followup_results.csv,4c3d4dcc905b5ffe9b4929a8070ca32189b10e68c7309597a041bc7d0bf2d6cc,MISSING_CANONICAL_FILE,Execution output survives in notebook/log.
100-orientation frozen manifest,px60_null_orientations_frozen.csv,58daa4917f729d04216902ddd1c735b809bb4c43736cf3f83876a396bfabb9e5,PRESENT_HASH_VERIFIED,Reconstructed exactly from frozen NumPy PCG64 seed 20260825 and preserved serialization.
100-orientation results,px60_null_ensemble_results.csv,e89918a93e23c7328542b086952627d57f21ae94aa1c7b0a8e3d74c38a5973fb,MISSING_CANONICAL_FILE,Printed 100-row result summary is preserved.
900-extension manifest,px60_null_extension_900_manifest.csv,f2e6538812157cadfc1c2762eb2c10afa50409ec020f5a7e54f710918e248427,PRESENT_HASH_VERIFIED,Reconstructed exactly from frozen NumPy PCG64 seed 2026082509 and preserved serialization.
900-extension results,px60_null_extension_900_results.csv,29e7ae4a68395623140f5b5e56192ea9cde7e19cc491b5ea21575c8af990c6d6,MISSING_CANONICAL_FILE,Complete extension log preserved.
combined 1000 results,px60_null_combined_1000_results.csv,47a028a31b05140537302d273189e5d3c90f08039405baff24c4881ea9ecb96b,MISSING_CANONICAL_FILE,1000-result summary and extension log preserved.
IAS15 null-tail audit results,px60_ias15_extreme_tail_audit.csv,642f470ee150c788ebe85a29f07f12bc0ec20e0bfd7a71f98dbc5ee82b91f87d,MISSING_CANONICAL_FILE,Full printed audit log preserved.
cadence frozen protocol,planetx_cadence_audit_protocol_frozen.json,3d5ea46c4015cc41b95844e4f5fd084ef17b21abfc6c9c3b7869bb4b0641c0df,PRESENT_HASH_VERIFIED,Reconstructed exactly.
cadence audit results,planetx_sampling_cadence_audit_results.csv,e8dd99a4fd84e3ff5817e7add753decf7f75d32a81315a575d08d37ac2fc68d8,PRESENT_HASH_VERIFIED,Complete printed audit log preserved.
cadence comparison,planetx_sampling_cadence_comparison.csv,111bea23f51ed686d4a0b64ecbba722532e23aa0c59e0e011ff2349f394790fc,PRESENT_HASH_VERIFIED,"A reconstructed printed comparison table is present, but it is not byte-canonical."
